EMPRESA: Teke Comercio de eletrônicos	PERÍODO: Mês: Fevereiro / 2026
DEPARTAMENTO: Operacional	TIPO: NORMAL
FUNCIONÁRIO: Willian de Miranda	CPF: 07562840903
PIS: 210.50986.83-2	JORNADA: 9.0h

ID	Tipo	Data/Hora	Justificativa
177	entrada	2026-02-02 07:56:00	None
178	saida	2026-02-02 12:00:00	
179	entrada	2026-02-02 13:00:00	
180	saida	2026-02-02 17:59:00	None
181	entrada	2026-02-03 07:58:00	None
182	saida	2026-02-03 12:00:00	
183	entrada	2026-02-03 13:00:00	
184	saida	2026-02-03 18:01:00	None
185	entrada	2026-02-04 08:02:00	None
186	saida	2026-02-04 12:00:00	
187	entrada	2026-02-04 13:00:00	
188	saida	2026-02-04 18:04:00	None
189	entrada	2026-02-05 07:57:00	None
190	saida	2026-02-05 12:00:00	
191	entrada	2026-02-05 13:00:00	
192	saida	2026-02-05 17:56:00	None
193	entrada	2026-02-06 08:03:00	None
194	saida	2026-02-06 12:00:00	
195	entrada	2026-02-06 13:00:00	
196	saida	2026-02-06 18:07:00	None
314	entrada	2026-02-07 08:01:00	None
316	saida	2026-02-07 12:02:00	
320	entrada	2026-02-07 13:01:00	None
317	saida	2026-02-07 18:01:00	None
318	entrada	2026-02-08 08:00:00	None
319	saida	2026-02-08 12:11:00	None
197	entrada	2026-02-09 07:56:00	None
198	saida	2026-02-09 12:00:00	
199	entrada	2026-02-09 13:00:00	
200	saida	2026-02-09 18:00:00	None
201	entrada	2026-02-10 08:01:00	None
202	saida	2026-02-10 12:00:00	
203	entrada	2026-02-10 13:00:00	
204	saida	2026-02-10 18:05:00	None
205	entrada	2026-02-11 08:05:00	None
206	saida	2026-02-11 12:00:00	
207	entrada	2026-02-11 13:00:00	
208	saida	2026-02-11 18:01:00	None
209	entrada	2026-02-12 08:03:00	None
210	saida	2026-02-12 12:00:00	
211	entrada	2026-02-12 13:00:00	
249	saida	2026-02-12 18:02:00	
250	entrada	2026-02-13 07:56:00	
251	saida	2026-02-13 12:02:00	
252	entrada	2026-02-13 13:10:00	None
266	saida	2026-02-13 18:02:00	None
324	abono	2026-02-18 00:00:00	
267	entrada	2026-02-18 12:45:00	None
268	saida	2026-02-18 18:15:00	
269	entrada	2026-02-19 07:59:00	None
270	saida	2026-02-19 12:00:00	None
271	entrada	2026-02-19 13:01:00	None
272	saida	2026-02-19 17:59:00	None
273	entrada	2026-02-20 07:45:00	
274	saida	2026-02-20 11:57:00	
275	entrada	2026-02-20 13:01:00	None
276	saida	2026-02-20 17:58:00	
277	entrada	2026-02-23 08:06:00	
310	saida	2026-02-23 12:04:00	
311	entrada	2026-02-23 13:01:00	
312	saida	2026-02-23 18:01:00	None
313	entrada	2026-02-24 07:48:00	None
321	saida	2026-02-24 12:09:00	
322	entrada	2026-02-24 13:03:00	None
335	saida	2026-02-24 18:00:00	None
325	entrada	2026-02-25 07:37:00	None
323	saida	2026-02-25 12:00:00	None
326	entrada	2026-02-25 13:01:00	None
336	saida	2026-02-25 18:02:00	None
327	entrada	2026-02-26 07:58:00	None
328	saida	2026-02-26 12:00:00	None
329	entrada	2026-02-26 13:05:00	None
330	saida	2026-02-26 18:05:00	None
331	entrada	2026-02-27 07:57:00	None
332	saida	2026-02-27 12:00:00	None
333	entrada	2026-02-27 12:59:00	None
334	saida	2026-02-27 18:02:00	None
